Province,Year,Investment Value,Category
Northwest Territories,2026,x,Wholesale trade
Nova Scotia,2022,88.7,Wholesale trade
Nova Scotia,2023,86.4,Wholesale trade
Nova Scotia,2024,116.1,Wholesale trade
Nova Scotia,2025,83.8,Wholesale trade
Nova Scotia,2026,101.90000000000001,Wholesale trade
Nunavut,2022,x,Wholesale trade
Nunavut,2023,x,Wholesale trade
Nunavut,2024,x,Wholesale trade
Nunavut,2025,1.8,Wholesale trade
Nunavut,2026,x,Wholesale trade
Ontario,2022,3020.3000000000002,Wholesale trade
Ontario,2023,3851.4000000000001,Wholesale trade
Ontario,2024,2739.3000000000002,Wholesale trade
Ontario,2025,2504,Wholesale trade
Ontario,2026,2769.1999999999998,Wholesale trade
Prince Edward Island,2022,9.6,Wholesale trade
Prince Edward Island,2023,x,Wholesale trade
Prince Edward Island,2024,16.6,Wholesale trade
Prince Edward Island,2025,10.5,Wholesale trade
Prince Edward Island,2026,7.7,Wholesale trade
Quebec,2022,"1,189.40",Wholesale trade
Quebec,2023,1328.4000000000001,Wholesale trade
Quebec,2024,1217,Wholesale trade
Quebec,2025,1167.4000000000001,Wholesale trade
Quebec,2026,1103.3,Wholesale trade
Saskatchewan,2022,360.3,Wholesale trade
Saskatchewan,2023,298.5,Wholesale trade
Saskatchewan,2024,265.4,Wholesale trade
Saskatchewan,2025,226.5,Wholesale trade
Saskatchewan,2026,179.19999999999999,Wholesale trade
Yukon,2022,6.1,Wholesale trade
Yukon,2023,14.4,Wholesale trade
Yukon,2024,x,Wholesale trade
Yukon,2025,11.3,Wholesale trade
Yukon,2026,12.9,Wholesale trade
Alberta,2022,F,Retail trade
Alberta,2023,x,Retail trade
Alberta,2024,1148.9000000000001,Retail trade
Alberta,2025,"1,128.50",Retail trade
Alberta,2026,1115.0999999999999,Retail trade
British Columbia,2022,1138.5,Retail trade
British Columbia,2023,"1,087.90",Retail trade
British Columbia,2024,1293.3,Retail trade
British Columbia,2025,1085.7,Retail trade
British Columbia,2026,1093.2,Retail trade
Manitoba,2022,232.40000000000001,Retail trade
Manitoba,2023,F,Retail trade
Manitoba,2024,334.3,Retail trade
Manitoba,2025,329.5,Retail trade
Manitoba,2026,338.5,Retail trade
New Brunswick,2022,135.6,Retail trade
New Brunswick,2023,207.4,Retail trade
New Brunswick,2024,176.9,Retail trade
New Brunswick,2025,157.69999999999999,Retail trade
New Brunswick,2026,145,Retail trade
Newfoundland and Labrador,2022,71.3,Retail trade
Newfoundland and Labrador,2023,116.9,Retail trade
Newfoundland and Labrador,2024,119.6,Retail trade
Newfoundland and Labrador,2025,111.9,Retail trade
Newfoundland and Labrador,2026,121.3,Retail trade
Northwest Territories,2022,8.3,Retail trade
Northwest Territories,2023,10.7,Retail trade
Northwest Territories,2024,13.6,Retail trade
Northwest Territories,2025,10.3,Retail trade
Northwest Territories,2026,10.6,Retail trade
Nova Scotia,2022,187.5,Retail trade
Nova Scotia,2023,244.3,Retail trade
Nova Scotia,2024,243.3,Retail trade
Nova Scotia,2025,223.8,Retail trade
Nova Scotia,2026,206,Retail trade
Nunavut,2022,F,Retail trade
Nunavut,2023,x,Retail trade
Nunavut,2024,x,Retail trade
Nunavut,2025,20.4,Retail trade
Nunavut,2026,5.4,Retail trade
Ontario,2022,2756.4000000000001,Retail trade
Ontario,2023,3494.4000000000001,Retail trade
Ontario,2024,3062.6999999999998,Retail trade
Ontario,2025,2965.3000000000002,Retail trade
Ontario,2026,2474.0999999999999,Retail trade
Prince Edward Island,2022,29.5,Retail trade
Prince Edward Island,2023,43.6,Retail trade
Prince Edward Island,2024,59.3,Retail trade
Prince Edward Island,2025,36.6,Retail trade
Prince Edward Island,2026,30.7,Retail trade
Quebec,2022,"1,534.00",Retail trade
Quebec,2023,1276,Retail trade
